,Adana,Adıyaman,Afyonkarahisar,Aksaray,Amasya,Ankara,Antalya,Ardahan,Artvin,Aydın,Ağrı,Balıkesir,Bartın ,Batman,Bayburt,Bilecik,Bingöl,Bitlis,Bolu,Burdur,Bursa,Denizli,Diyarbakır,Düzce,Edirne,Elazığ,Erzincan,Erzurum,Eskişehir,Gaziantep,Giresun,Gümüşhane,Hakkari,Hatay,Isparta,Iğdır,Kahramanmaraş,Karabük,Karaman,Kars,Kastamonu,Kayseri,Kilis ,Kocaeli,Konya,Kütahya,Kırklareli,Kırıkkale,Kırşehir,Malatya,Manisa,Mardin,Mersin,Muğla,Muş,Nevşehir,Niğde,Ordu,Osmaniye,Rize,Sakarya,Samsun,Siirt,Sinop,Sivas,Tekirdağ,Tokat,Trabzon,Tunceli,Uşak,Van,Yalova,Yozgat,Zonguldak,Çanakkale,Çankırı,Çorum,İstanbul,İzmir,Şanlıurfa,Şırnak
2009-12-31,37699,13415,11827,7616,4351,68342,30647,1907,2057,12971,16775,12535,2434,13686,1361,2606,5583,9395,3453,3076,38958,13166,39398,5058,4110,9490,3023,16153,8830,42944,5261,2068,6270,30346,5754,4413,23243,2713,4006,7146,4473,22176,2815,25876,35386,7188,3383,3877,3000,12731,18729,20005,27119,10743,12051,4707,6660,10464,9622,4526,13330,18605,8969,2652,10547,11155,9401,11189,950,4465,30342,2817,8591,8839,5217,2532,7972,210441,50838,54420,13862
2010-12-31,37219,13532,11423,7387,4197,68271,30674,1766,2006,12803,17574,12715,2409,13903,1310,2544,5609,9261,3378,3030,39229,12575,40207,4979,3979,9253,3034,15979,8757,42658,5179,1831,6082,29881,5388,4556,22954,2557,3626,7359,4350,21687,2911,25864,35024,7277,3383,3672,2893,12475,18460,20239,27291,10784,12199,4402,6245,10057,9686,4360,13035,17898,8918,2512,10182,11226,9053,10839,874,4487,30302,2600,7748,8319,4981,2462,7636,213821,50303,56007,13633
2011-12-31,36886,13404,11160,7262,4041,69262,30957,1751,1937,12632,17058,12695,2275,13769,1212,2479,5552,8992,3521,2914,38788,12751,40880,4999,4112,9215,3179,16087,8811,43273,4836,1821,6272,29399,5268,4540,22602,2554,3626,6952,4159,22117,2748,25770,35138,6844,3259,3361,2825,12190,18459,19889,26775,10661,11696,4280,5985,9499,9016,4289,12772,17244,8744,2436,9861,11763,8347,10454,901,4363,29526,2564,7298,7781,5229,2356,7318,213441,50963,57166,13601
2012-12-31,38181,13415,11201,7045,4049,71596,33018,1690,2062,13544,17123,12938,2085,14080,1287,2669,5565,9015,3407,2889,41369,13031,42117,4956,4271,9103,3132,16045,9306,45640,4796,1804,6138,30496,5379,4515,22491,2425,3693,6989,4222,22378,2844,27334,35990,6951,3490,3260,2867,12217,18974,20946,28139,11176,11845,4308,6079,9517,9392,4215,13420,17569,8726,2474,9740,12398,8059,10380,918,4571,29217,2742,6957,7709,5420,2296,7489,226594,53971,59237,14019
2013-12-31,38698,13071,10910,6965,4033,72976,33210,1596,2021,13219,16657,13099,2159,14196,1213,2706,5594,8975,3514,2957,41325,13138,41729,5144,4196,8873,3213,15692,9437,46694,4696,1877,6367,30247,5321,4715,22918,2520,3820,6519,4177,22481,2867,27521,35797,6810,3475,3320,2894,11933,19193,20439,27961,11018,11558,4226,5899,9429,9374,4346,13375,17415,8464,2342,9359,12751,8002,10189,953,4635,30710,2739,6525,7323,5285,2289,7109,229390,53376,59931,14415
2014-12-31,39953,13681,11377,7071,3911,76659,34808,1634,2070,13632,16822,13465,2300,14908,1272,2740,5931,9148,3543,3126,42683,13965,44259,5223,4066,9300,3119,15982,10026,49307,4715,1957,6513,32320,5377,4718,22890,2477,3721,6449,3931,23506,3100,29879,37025,6981,3726,3345,2994,12328,19572,22050,29124,11295,12024,4474,6038,9386,9674,4275,14021,17559,9094,2380,9432,13392,7782,10414,1028,4710,30755,3000,6586,7123,5489,2358,7278,242397,55906,63395,15144
2015-12-31,39467,13413,11184,6862,3959,77368,35907,1540,1987,13820,15987,12914,2129,14529,1235,2656,5486,9038,3433,3064,43267,13916,43582,5119,4253,8996,3092,15265,10004,48815,4623,1888,5987,31412,5232,4532,21976,2506,3854,6069,4027,23065,3005,30901,36472,6919,3715,3340,2930,12006,19435,21677,28515,11413,11259,4179,5678,8987,9301,4206,14242,17227,8572,2262,9225,14139,7300,10453,1078,4554,29832,3013,6290,6753,5370,2170,6662,242888,55946,62745,14791
2016-12-31,38173,12958,10776,6755,3736,76388,35580,1407,1997,13702,15590,12930,2065,14233,1211,2700,5515,8798,3492,2955,43163,13560,42942,5317,4076,8839,3217,14903,9945,47487,4456,1959,5642,30781,5191,4428,21660,2365,3839,5853,3944,22512,2883,31188,36229,6579,3586,3299,2914,11752,19225,20617,28158,11302,10952,4144,5744,9087,9063,4175,14504,17001,8406,2232,9073,14463,7122,10418,976,4409,28824,3276,5940,6379,5440,2234,6644,240027,54623,63490,12786
2017-12-31,37365,13056,10517,6786,3804,75902,33760,1415,1917,14104,15152,12898,1927,14453,1145,2651,5486,8752,3438,2807,42807,13481,43562,5273,3980,8776,2995,14654,10094,46316,4477,1808,5647,29817,5352,4220,21249,2486,3785,5681,3713,21519,2899,31320,35392,6455,3711,3328,2905,11769,18796,20945,27465,11122,11090,4062,5470,8994,9000,4061,14618,16894,8300,2251,8954,14829,6963,10299,931,4498,28682,3261,5909,6195,5515,2186,6360,233220,53895,64747,13940
2018-12-31,35387,12566,10075,6714,3664,73270,32468,1319,1843,13425,13755,12609,1965,14026,1105,2628,5537,8429,3376,2750,42389,12853,41784,5197,3910,8384,2871,13568,9802,45388,4448,1695,5514,28820,4958,4056,20096,2459,3567,5258,3759,20777,2944,30805,34597,6093,3582,3191,2921,11204,18470,20645,26751,10858,10521,3908,5291,8639,8551,4156,14780,16622,8106,2183,8285,14971,6802,10243,1000,4261,27315,3220,5482,5836,5535,2265,6164,223223,51617,63468,14102
2019-12-31,33360,11915,9790,6356,3517,68648,30735,1293,1799,12675,13462,11908,1880,13422,1043,2526,5336,8163,3269,2670,39958,12037,39862,5079,3635,7999,2853,12974,9216,42262,4265,1703,5440,27747,4769,3933,18849,2343,3432,5078,3571,19557,2801,29104,32588,5746,3441,3088,2839,10594,17580,20122,24631,10273,10317,3708,5129,8347,8319,3923,13855,15715,7624,2203,8085,13987,6685,9610,1030,4018,26882,3120,5129,5494,5211,2277,5928,208494,48011,61027,13686
2020-12-31,30892,11056,9280,6159,3209,63781,29521,1189,1756,11887,12372,11444,1812,12952,1018,2341,4981,7692,3057,2492,38181,11453,37000,4772,3610,7594,2638,12052,8797,40344,4027,1617,5117,26027,4472,3581,18005,2186,3304,4731,3352,18082,2698,26994,31139,5629,3345,2799,2605,9700,16903,18988,23548,10009,9397,3649,4663,7724,7688,3684,13013,14483,7638,2086,7586,13219,6035,8892,930,3796,24645,2865,4856,5037,4926,2122,5473,192670,44664,59492,13552
2021-12-31,29970,11015,8921,6002,3143,60178,28540,1217,1536,11653,11617,10867,1643,13205,991,2292,4684,7639,3057,2437,36600,11014,37223,4463,3510,7001,2767,11536,8737,40965,3822,1473,4891,25521,4388,3498,17057,2262,3111,4401,3261,17496,2710,26546,30609,5137,3095,2653,2439,9498,16392,19506,23031,9643,9172,3575,4501,7121,7342,3592,13065,13780,7245,1953,7149,12919,5770,8692,886,3580,22675,2926,4530,4751,4694,2153,5217,181007,43337,62210,13843
2022-12-31,29663,10386,8656,5944,2990,57983,27156,1069,1522,11328,10452,10886,1654,12448,896,2249,4233,7169,2959,2469,34839,10855,35494,4414,3545,6607,2481,10568,8416,39845,3754,1424,4823,24336,4272,3172,16556,2097,3045,4085,3261,16984,2688,25574,30009,4981,3156,2517,2400,9161,16022,18438,22600,9256,8268,3485,4460,7086,7587,3280,12243,13246,6749,1868,6690,12708,5607,8089,828,3639,21949,2844,4379,4372,4593,1965,4867,170898,41864,59213,13148
2023-12-31,26968,8592,8136,5471,2831,54264,25768,943,1410,10707,9031,10436,1479,11562,847,2215,3866,6443,2754,2458,32940,10324,32519,4193,3344,6212,2397,9750,7806,35152,3613,1277,4548,20056,4073,2857,14070,1927,2866,3632,3008,15382,2474,24322,28233,4635,3041,2357,2201,7482,15460,16974,20872,8929,7201,3215,4199,6619,6903,3253,12135,12549,6143,1742,6273,12306,5351,7759,784,3439,19314,2741,4001,4098,4655,1872,4415,156708,38741,54452,12433
2024-12-31,25056,7030,7773,5401,2683,51827,24722,897,1353,10333,8223,10155,1466,11090,815,2184,3480,6035,2722,2409,30329,9829,30619,4054,3327,5728,2328,8960,7396,31778,3472,1239,4299,15855,3952,2590,11662,1934,2711,3435,2974,14009,2464,24075,27057,4405,2970,2204,2075,5671,14952,15776,19642,8602,6609,3161,3991,6415,6499,3143,12075,12456,5819,1703,6121,11963,5074,7390,843,3294,17951,2707,3683,3795,4585,1814,4174,146332,36360,50409,11744
2025-12-31,23294,5701,7415,5251,2546,49289,23648,836,1290,9918,7344,9840,1419,10730,780,2142,3143,5537,2671,2379,27914,9391,28909,3920,3266,5306,2240,8161,7063,29002,3335,1174,4123,12632,3827,2351,9720,1877,2464,3138,2873,12814,2414,23488,25823,4154,2904,2071,1959,4115,14455,14789,18435,8280,5950,3055,3822,6142,6320,3027,12023,12105,5504,1643,5814,11687,4805,7049,861,3180,16848,2666,3371,3491,4532,1753,3874,135902,34065,46923,11284
2026-12-31,21570,4429,7064,5093,2406,46867,22620,776,1229,9521,6551,9549,1375,10349,744,2103,2807,5127,2610,2350,25635,8972,27198,3791,3203,4880,2160,7402,6735,26265,3200,1114,3940,9541,3704,2120,7900,1824,2315,2848,2776,11653,2363,22906,24600,3908,2841,1944,1845,2643,13965,13840,17245,7970,5313,2953,3650,5870,6140,2913,11981,11654,5207,1583,5548,11424,4528,6715,865,3066,15963,2628,3056,3193,4481,1689,3579,125767,31846,43635,10847
